id,year,rvote,age,female,black,white,otherrace,educ,family_income,south,college
171,2000,1,40,0,0,1,0,4,4,0,1
172,2000,1,39,0,0,1,0,4,4,0,1
173,2000,0,61,1,0,0,1,2,2,0,0
174,2000,1,63,1,0,1,0,4,4,0,1
175,2000,0,31,0,0,1,0,4,4,0,1
176,2000,0,61,0,0,1,0,2,2,0,0
177,2000,1,58,1,0,1,0,3,3,1,0
178,2000,0,51,1,0,1,0,4,4,0,1
179,2000,1,51,1,0,1,0,4,4,0,1
180,2000,0,26,0,0,1,0,4,3,0,1
181,2000,0,33,1,0,1,0,3,2,0,0
182,2000,0,58,1,0,1,0,3,4,0,0
183,2000,0,37,1,1,0,0,3,3,0,0
184,2000,1,54,0,0,1,0,4,4,0,1
185,2000,0,22,0,0,1,0,2,4,0,0
186,2000,1,49,0,0,1,0,4,4,1,1
187,2000,0,49,0,0,1,0,4,4,0,1
188,2000,0,24,1,0,0,1,3,4,1,0
189,2000,0,33,1,0,1,0,3,1,0,0
190,2000,0,20,0,0,1,0,3,4,0,0
191,2000,0,52,0,1,0,0,2,2,1,0
192,2000,1,41,0,0,1,0,4,5,1,1
193,2000,0,54,0,0,1,0,4,4,1,1
194,2000,1,26,1,0,1,0,2,1,0,0
195,2000,0,59,0,0,1,0,2,3,0,0
196,2000,0,43,0,0,1,0,4,5,0,1
197,2000,0,51,0,0,1,0,4,4,0,1
198,2000,0,25,1,0,0,1,3,3,1,0
199,2000,1,41,0,0,0,1,3,2,1,0
200,2000,0,22,0,0,1,0,2,4,0,0
201,2000,0,39,1,0,0,1,3,3,0,0
202,2000,0,48,1,0,1,0,2,3,1,0
203,2000,0,48,0,0,1,0,3,3,0,0
204,2000,0,46,1,0,1,0,3,2,0,0
205,2000,0,58,0,0,1,0,2,2,0,0
206,2000,1,37,0,0,1,0,3,2,0,0
207,2000,0,61,1,0,1,0,2,2,0,0
208,2000,0,23,1,1,0,0,4,5,0,1
209,2000,0,58,1,0,1,0,2,2,0,0
210,2000,0,64,1,1,0,0,1,1,1,0
211,2000,1,27,1,0,1,0,4,4,0,1
212,2000,0,33,0,,0,0,3,3,0,0
213,2000,0,39,0,0,1,0,4,5,0,1
214,2000,1,28,1,0,1,0,3,4,1,0
215,2000,1,60,0,0,1,0,2,4,1,0
216,2000,1,34,1,0,1,0,4,4,1,1
217,2000,0,36,1,0,0,1,3,4,1,0
218,2000,0,25,1,1,0,0,2,1,1,0
219,2000,0,36,1,1,0,0,3,4,1,0
220,2000,1,41,0,0,1,0,3,3,1,0
221,2000,1,24,1,0,1,0,2,2,1,0
222,2000,0,49,1,0,1,0,4,4,0,1
223,2000,0,21,1,0,0,1,3,1,0,0
224,2000,0,20,1,0,1,0,2,2,0,0
225,2000,0,55,1,0,1,0,4,4,0,1
226,2000,0,65,1,0,1,0,2,3,0,0
227,2000,0,31,1,0,1,0,3,4,0,0
228,2000,1,47,1,0,1,0,2,3,0,0
229,2000,0,26,1,0,1,0,3,2,0,0
230,2000,1,44,0,0,1,0,3,2,0,0
231,2000,1,43,0,0,1,0,3,3,0,0
232,2000,1,26,1,0,1,0,4,3,0,1
233,2000,1,59,0,0,1,0,4,4,0,1
234,2000,0,62,1,0,1,0,3,1,0,0
235,2000,0,56,1,0,1,0,3,4,0,0
236,2000,0,41,1,0,0,1,3,3,0,0
237,2000,0,22,1,0,0,1,3,2,0,0
238,2000,0,23,0,0,1,0,2,1,0,0
239,2000,0,61,1,1,0,0,3,2,0,0
240,2000,0,34,0,0,1,0,3,3,0,0
241,2000,1,34,0,0,1,0,4,3,0,1
242,2000,1,40,1,0,1,0,4,3,0,1
243,2000,0,30,1,0,1,0,4,4,0,1
244,2000,0,32,0,1,0,0,2,1,0,0
245,2000,0,51,1,0,1,0,2,2,0,0
246,2000,1,45,0,0,1,0,3,4,0,0
247,2000,0,64,0,0,1,0,2,2,0,0
248,2000,0,39,0,0,1,0,2,3,0,0
249,2000,0,28,1,0,1,0,2,2,0,0
250,2000,0,62,1,0,1,0,3,3,0,0
251,2000,0,24,0,0,1,0,3,5,0,0
252,2000,0,63,0,1,0,0,2,3,1,0
253,2000,0,40,0,1,0,0,2,1,1,0
254,2000,1,45,0,0,0,1,2,3,0,0
255,2000,0,59,1,0,0,1,2,1,0,0
256,2000,0,40,1,0,1,0,3,4,0,0
257,2000,1,52,0,0,1,0,3,4,0,0
258,2000,0,59,1,0,1,0,4,4,0,1
259,2000,0,32,1,0,1,0,4,4,0,1
260,2000,1,65,0,0,1,0,2,4,0,0
261,2000,0,52,0,1,0,0,2,3,1,0
262,2000,1,57,1,0,0,1,2,4,1,0
263,2000,0,23,0,0,1,0,4,2,0,1
264,2000,0,34,1,0,1,0,3,2,0,0
265,2000,1,42,0,0,1,0,3,4,0,0
266,2000,0,46,1,0,1,0,4,2,0,1
267,2000,0,23,0,0,0,1,2,2,0,0
268,2000,0,35,0,0,1,0,3,4,0,0
269,2000,0,58,1,0,1,0,4,2,0,1
270,2000,1,51,0,0,1,0,2,3,0,0
271,2000,0,43,1,0,1,0,4,5,0,1
272,2000,0,21,1,0,1,0,2,2,0,0
273,2000,0,43,1,0,1,0,2,3,0,0
274,2000,0,26,1,0,0,1,2,2,0,0
275,2000,0,35,1,0,1,0,2,2,0,0
276,2000,0,42,1,0,1,0,3,2,0,0
277,2000,0,26,1,0,0,1,4,4,0,1
278,2000,0,41,1,1,0,0,2,3,0,0
279,2000,0,36,1,0,1,0,4,3,1,1
280,2000,0,31,0,0,1,0,3,4,0,0
281,2000,0,40,0,0,1,0,3,4,0,0
282,2000,0,50,1,1,0,0,3,1,0,0
283,2000,0,43,0,1,0,0,3,2,0,0
284,2000,0,56,1,0,1,0,4,4,0,1
285,2000,1,41,0,0,0,1,3,4,0,0
286,2000,0,25,1,0,1,0,3,3,0,0
287,2000,0,42,1,1,0,0,4,3,1,1
288,2000,0,27,0,1,0,0,3,2,1,0
289,2000,0,44,1,0,1,0,2,2,1,0
290,2000,0,40,0,0,1,0,4,4,0,1
291,2000,0,39,0,0,1,0,4,3,0,1
292,2000,1,34,1,0,1,0,4,5,0,1
293,2000,0,58,1,0,1,0,2,3,1,0
294,2000,1,63,0,0,1,0,2,3,0,0
295,2000,0,56,1,1,0,0,4,3,0,1
296,2000,0,32,1,0,0,1,4,4,0,1
297,2000,0,40,0,0,1,0,3,3,0,0
298,2000,1,40,0,0,1,0,3,3,0,0
299,2000,1,61,1,0,1,0,3,3,0,0
300,2000,0,50,1,0,0,1,3,4,0,0
301,2000,1,42,1,0,1,0,4,3,0,1
302,2000,1,43,0,0,1,0,4,2,0,1
303,2000,0,55,0,0,1,0,3,4,0,0
304,2000,1,36,1,0,1,0,4,5,1,1
305,2000,1,30,1,0,0,1,4,4,1,1
306,2000,1,38,1,0,1,0,4,4,1,1
307,2000,0,54,1,0,1,0,3,3,0,0
308,2000,0,24,1,0,1,0,2,1,1,0
309,2000,0,49,0,1,0,0,3,4,1,0
310,2000,0,50,1,0,1,0,2,4,0,0
311,2000,0,29,0,0,1,0,2,2,0,0
312,2000,1,51,1,0,1,0,4,3,0,1
313,2000,0,37,0,0,1,0,4,3,1,1
314,2000,1,56,0,0,1,0,4,4,1,1
315,2000,1,50,0,0,1,0,4,4,0,1
316,2000,0,39,1,,0,0,2,4,0,0
317,2000,0,41,0,0,0,1,1,2,0,0
318,2000,0,21,1,0,1,0,2,5,0,0
319,2000,0,21,1,0,0,1,2,3,0,0
320,2000,0,20,1,,0,0,2,1,0,0
321,2000,1,36,0,0,1,0,2,2,0,0
322,2000,1,57,1,0,1,0,4,3,0,1
323,2000,0,46,1,0,1,0,4,4,0,1
324,2000,1,28,0,0,0,1,4,4,1,1
325,2000,1,36,0,0,1,0,2,3,1,0
326,2000,0,40,1,0,1,0,2,3,1,0
327,2000,0,20,1,1,0,0,2,1,1,0
328,2000,0,31,1,0,1,0,2,3,0,0
329,2000,0,30,0,1,0,0,4,3,0,1
330,2000,0,52,1,0,1,0,4,4,0,1
331,2000,1,49,0,0,1,0,4,5,0,1
332,2000,1,49,1,0,1,0,2,2,0,0
333,2000,1,21,1,0,1,0,3,2,0,0
334,2000,0,57,1,0,0,1,2,1,1,0
335,2000,0,39,1,0,0,1,2,2,1,0
336,2000,0,44,1,0,1,0,2,3,1,0
337,2000,0,26,1,0,0,1,2,2,1,0
338,2000,0,22,0,0,1,0,3,4,0,0
339,2000,0,33,1,1,0,0,2,1,1,0
340,2000,0,60,1,1,0,0,2,1,1,0
341,2000,0,52,0,1,0,0,4,1,1,1
342,2000,0,24,0,1,0,0,3,3,1,0
343,2000,1,65,0,0,1,0,4,4,1,1
344,2000,0,46,0,0,1,0,3,3,0,0
345,2000,0,40,0,0,1,0,2,3,0,0
346,2000,0,43,0,0,1,0,4,4,1,1
347,2000,0,51,1,1,0,0,2,1,0,0
348,2000,1,35,1,0,0,1,4,4,1,1
349,2000,0,28,1,0,0,1,3,1,1,0
350,2000,0,33,1,0,0,1,2,1,1,0
351,2000,0,52,1,0,1,0,2,2,0,0
352,2000,0,47,0,0,1,0,4,3,1,1
353,2000,0,24,1,0,0,1,2,3,0,0
354,2000,1,32,1,0,1,0,4,4,0,1
355,2000,1,46,1,0,1,0,2,4,0,0
356,2000,0,47,1,,0,0,4,4,1,1
357,2000,0,53,0,0,1,0,4,5,0,1
358,2000,1,59,1,0,1,0,3,5,1,0
359,2000,0,48,1,1,0,0,4,3,0,1
360,2000,0,43,1,1,0,0,4,3,0,1
361,2000,0,29,1,0,1,0,4,3,0,1
